counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
61,1.0,78.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,29.0,2.0,1000.0,1000.0,1000.0
62,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,51.0,1.0,24.0,1.0,39.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,4.0
63,1000.0,1000.0,2.0,19.0,1000.0,1000.0,1.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,29.0,1000.0,1000.0,2.0,20.0,1000.0,1000.0
64,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,61.0,1000.0,1000.0,2.0,75.0
65,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,38.0,1000.0,1000.0,1.0,35.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,31.0,1000.0,1000.0
66,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,47.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,48.0
67,2.0,30.0,2.0,7.0,1000.0,1000.0,1.0,97.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,26.0,1000.0,1000.0,1000.0,1000.0,1.0,22.0
68,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0
69,2.0,1000.0,2.0,48.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,2.0,17.0,2.0,44.0,1000.0,1000.0
70,1000.0,1000.0,1.0,29.0,2.0,1000.0,1000.0,1000.0,1.0,6.0,1.0,1000.0,2.0,27.0,2.0,27.0,1.0,1000.0,1.0,5.0,1000.0,1000.0
71,1000.0,1000.0,1.0,38.0,2.0,1000.0,1000.0,1000.0,2.0,71.0,1000.0,1000.0,1.0,1000.0,1.0,88.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0
72,2.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,31.0,2.0,42.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0
73,1.0,1000.0,2.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,50.0,2.0,14.0,2.0,1000.0,1000.0,1000.0,1.0,15.0,1.0,1000.0
74,1000.0,1000.0,1.0,34.0,1.0,1000.0,1.0,88.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,29.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0
75,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,73.0,1000.0,1000.0
76,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,93.0,1.0,1000.0,1.0,80.0,1.0,54.0,2.0,73.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
77,1000.0,1000.0,1.0,1000.0,2.0,21.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,12.0,1.0,61.0,2.0,1000.0,2.0,1000.0,1000.0,1000.0
78,1.0,1000.0,1000.0,1000.0,2.0,3.0,1.0,58.0,1000.0,1000.0,2.0,70.0,1.0,1000.0,1000.0,1000.0,2.0,72.0,2.0,61.0,1000.0,1000.0
